Objects
100
,,Global Angle (Quaternion) px4 bachelor:px4 bachelor,,,,,,,
Frame,Sub Frame,RX,RY,RZ,RW,TX,TY,TZ
,,,,,,mm,mm,mm
207,0,-0.009963,0.044044,0.105628,0.993380,1998.359253,2968.825928,753.745239
208,0,-0.009824,0.044499,0.105966,0.993325,1998.501709,2969.240967,753.979126
209,0,-0.010094,0.044817,0.105978,0.993307,1998.525269,2969.658691,754.259705
210,0,-0.010759,0.044942,0.105706,0.993323,1998.460449,2970.081055,754.595764
211,0,-0.011636,0.044671,0.105432,0.993354,1998.344727,2970.457275,754.937012
212,0,-0.012745,0.044084,0.105097,0.993403,1998.301270,2970.632568,755.350281
213,0,-0.013382,0.043754,0.104897,0.993430,1998.285767,2970.721924,755.604797
214,0,-0.013281,0.043887,0.104688,0.993447,1998.212036,2970.817871,755.652771
215,0,-0.013165,0.044449,0.104662,0.993427,1998.204834,2970.820312,755.720764
216,0,-0.013323,0.044845,0.104652,0.993408,1998.144043,2970.843506,755.880005
217,0,-0.014028,0.044722,0.104722,0.993396,1997.992676,2970.926514,756.196655
218,0,-0.015047,0.044410,0.104800,0.993387,1997.799927,2971.069336,756.661316
219,0,-0.015785,0.044513,0.104758,0.993376,1997.642944,2971.230957,757.225891
220,0,-0.016047,0.045073,0.104449,0.993379,1997.587769,2971.373291,757.853516
221,0,-0.015970,0.045852,0.103915,0.993400,1997.657837,2971.498535,758.477844
222,0,-0.015739,0.046202,0.103103,0.993472,1997.792725,2971.676025,759.164917
223,0,-0.015475,0.045937,0.102131,0.993589,1997.903564,2971.927979,759.930542
224,0,-0.016877,0.045116,0.100441,0.993776,1997.958374,2972.116943,760.808411
225,0,-0.017817,0.044498,0.098557,0.993976,1997.915527,2972.440430,761.590332
226,0,-0.016792,0.043952,0.097907,0.994083,1997.840698,2973.014893,762.137878
227,0,-0.016127,0.043585,0.097444,0.994155,1997.739136,2973.520752,762.586487
228,0,-0.015868,0.043536,0.097217,0.994184,1997.675171,2973.942627,762.876587
229,0,-0.015783,0.043887,0.097093,0.994182,1997.726562,2974.292969,763.102051
230,0,-0.015738,0.044804,0.097138,0.994137,1997.953979,2974.544678,763.273560
231,0,-0.015787,0.046541,0.097144,0.994056,1998.267334,2974.739746,763.428955
232,0,-0.015851,0.049364,0.097112,0.993922,1998.634644,2974.904053,763.594299
233,0,-0.015905,0.052900,0.097149,0.993736,1999.033447,2975.051514,763.771484
234,0,-0.016092,0.056327,0.097360,0.993524,1999.426880,2975.152344,764.000183
235,0,-0.016225,0.059470,0.097643,0.993311,1999.931274,2975.194092,764.240173
236,0,-0.015931,0.062545,0.097711,0.993120,2000.454468,2975.242432,764.547852
237,0,-0.015365,0.065913,0.097198,0.992961,2001.004639,2975.274414,764.915894
238,0,-0.014301,0.069208,0.096629,0.992808,2001.641235,2975.311279,765.348206
239,0,-0.012816,0.072966,0.096058,0.992615,2002.290283,2975.399902,765.906311
240,0,-0.011446,0.076978,0.095400,0.992392,2002.911133,2975.541504,766.655945
241,0,-0.010585,0.081071,0.094833,0.992130,2003.573364,2975.676025,767.521973
242,0,-0.009807,0.085421,0.094511,0.991804,2004.241455,2975.938721,768.571472
243,0,-0.008536,0.090135,0.094384,0.991410,2004.990356,2976.192871,769.735962
244,0,-0.008304,0.096428,0.094111,0.990846,2005.739502,2976.376465,770.717773
245,0,-0.005749,0.101944,0.094029,0.990320,2006.753174,2976.686279,772.261658
246,0,-0.003285,0.108468,0.093910,0.989649,2007.822021,2976.856201,773.697388
247,0,-0.001013,0.115911,0.093700,0.988830,2008.937134,2976.974609,775.117493
248,0,0.001617,0.123441,0.093850,0.987903,2010.180420,2977.053955,776.552124
249,0,0.010353,0.131576,0.095588,0.986632,2011.379517,2977.657227,777.627747
250,0,0.017826,0.138929,0.097334,0.985346,2012.767822,2977.953125,779.076477
251,0,0.024144,0.145782,0.098928,0.984062,2014.261963,2978.139893,780.705627
252,0,0.030851,0.151880,0.101382,0.982702,2015.909912,2978.487549,782.501038
253,0,0.039370,0.156846,0.105917,0.981138,2017.606201,2979.403076,784.579346
254,0,0.047911,0.161587,0.111730,0.979342,2019.640869,2979.905762,786.540833
255,0,0.054898,0.165767,0.117837,0.977559,2021.675293,2980.436279,788.801208
256,0,0.060432,0.168673,0.124042,0.975967,2023.749390,2981.056641,791.203674
257,0,0.065251,0.170254,0.130536,0.974534,2025.833862,2981.781250,793.606262
258,0,0.069987,0.170786,0.137185,0.973198,2027.908813,2982.571045,795.914490
259,0,0.074677,0.171281,0.143704,0.971821,2030.026001,2983.432129,798.145935
260,0,0.079336,0.171681,0.150928,0.970285,2032.544189,2984.503662,800.363647
261,0,0.085691,0.176537,0.156057,0.968059,2034.320068,2984.845703,801.600708
262,0,0.084099,0.176748,0.160295,0.967467,2037.331543,2986.321777,804.893066
263,0,0.082900,0.171627,0.170107,0.966817,2040.876343,2989.240723,809.159729
264,0,0.089401,0.172051,0.178299,0.964684,2043.105103,2990.408447,810.460815
265,0,0.093403,0.173842,0.182553,0.963187,2045.391602,2990.898682,812.137268
266,0,0.097929,0.174745,0.186389,0.961838,2047.554443,2992.090088,813.998047
267,0,0.101729,0.175643,0.188328,0.960902,2049.694580,2992.992188,815.725952
268,0,0.106098,0.175739,0.189655,0.960151,2051.780762,2994.154053,817.549927
269,0,0.111527,0.177228,0.189215,0.959349,2053.848877,2995.239502,819.211487
270,0,0.116143,0.178707,0.188454,0.958676,2055.860352,2996.331299,820.947632
271,0,0.115764,0.183181,0.179853,0.959529,2057.745361,2995.843018,821.721436
272,0,0.114292,0.186286,0.173668,0.960247,2059.707520,2996.390381,823.292603
273,0,0.113252,0.187950,0.169784,0.960740,2061.746338,2997.241211,824.924866
274,0,0.111232,0.188948,0.166389,0.961375,2063.712402,2997.800537,826.418091
275,0,0.109621,0.189400,0.164712,0.961759,2065.694336,2998.624023,827.878967
276,0,0.108116,0.189947,0.163030,0.962108,2067.560547,2999.168701,829.119019
277,0,0.107536,0.190530,0.162083,0.962218,2069.440918,2999.720947,830.164307
278,0,0.110808,0.187633,0.165349,0.961860,2071.430664,3001.541016,831.727661
279,0,0.112424,0.184779,0.168477,0.961682,2073.337646,3002.460693,832.879578
280,0,0.113915,0.183696,0.170347,0.961385,2074.809570,3002.941162,833.531860
281,0,0.116013,0.182199,0.172606,0.961016,2076.303711,3003.686035,834.240173
282,0,0.114577,0.186393,0.168668,0.961083,2077.424805,3002.623291,833.714355
283,0,0.119182,0.191076,0.165036,0.960234,2078.611328,3002.371826,832.962524
284,0,0.124213,0.194751,0.163317,0.959151,2079.906494,3003.175781,832.969604
285,0,0.134945,0.197212,0.163085,0.957236,2080.971191,3004.138184,832.220581
286,0,0.142959,0.198673,0.163396,0.955716,2082.178467,3005.257324,832.336731
287,0,0.148079,0.198541,0.164705,0.954739,2083.443359,3006.401367,832.619934
288,0,0.151847,0.197357,0.166005,0.954167,2084.711670,3007.434082,832.731201
289,0,0.155303,0.200263,0.169161,0.952450,2085.382812,3008.388672,832.803101
290,0,0.158479,0.205580,0.172641,0.950167,2086.640137,3008.988770,832.964783
291,0,0.161641,0.209882,0.173852,0.948471,2087.815918,3010.006104,832.940735
292,0,0.162517,0.206815,0.173021,0.949147,2089.460938,3011.148926,832.796936
293,0,0.163829,0.204843,0.171504,0.949624,2090.499512,3012.196777,832.781311
294,0,0.169313,0.211620,0.169413,0.947549,2090.825439,3013.145752,832.962036
295,0,0.170343,0.204451,0.165154,0.949688,2092.461426,3014.409424,832.827271
296,0,0.172007,0.199802,0.161807,0.950953,2093.312744,3015.547363,832.885071
297,0,0.174579,0.197272,0.159252,0.951444,2094.083984,3016.631592,832.858765
298,0,0.173156,0.198457,0.155106,0.952142,2094.715332,3016.904053,832.704590
299,,,,,,,,
300,,,,,,,,
301,,,,,,,,
302,,,,,,,,
303,,,,,,,,
304,0,0.340848,0.149062,0.125479,0.919705,2093.572754,3012.925537,828.362122
305,0,0.427797,0.117448,0.104811,0.890062,2093.907715,3010.473877,827.286560
306,0,0.477310,0.099393,0.092069,0.868228,2094.180420,3010.245850,827.292786
307,0,0.506175,0.089221,0.082735,0.853804,2094.356934,3010.271240,827.570862
308,,,,,,,,
309,,,,,,,,
310,,,,,,,,
311,,,,,,,,
312,,,,,,,,
313,,,,,,,,
314,,,,,,,,
315,,,,,,,,
316,,,,,,,,
317,,,,,,,,
318,,,,,,,,
319,,,,,,,,
320,,,,,,,,
321,,,,,,,,
322,0,0.380139,0.155935,0.127198,0.902773,2101.448730,3019.323242,833.524963
323,0,0.304211,0.191892,0.149946,0.920950,2102.454102,3020.263428,834.382507
324,0,0.259491,0.211068,0.161189,0.928511,2102.574707,3020.158203,834.574463
325,0,0.232327,0.220953,0.166234,0.932508,2102.539307,3019.866455,834.682861
