dataset,method,trajectory_file,mae (m),rmse (m),mean (m),median (m),max (m),min (m),std (m),sse,avg_cpu (%),avg_mem (MB),avg_mem (%)
MH_05_difficult,ORB-SLAM3_2,OrbSlam3TUM_mono2.txt,0.073563,0.079818,0.073563,0.068635,0.138544,0.008666,0.030975,2.070549,7.25,,21.88
MH_05_difficult,ORB-SLAM3_3,OrbSlam3TUM_mono3.txt,0.055527,0.061333,0.055527,0.050314,0.165962,0.007167,0.026048,1.094657,6.86,,15.21
V1_01_easy,VINS-Mono,tum_vinsmono.txt,0.078807,0.088902,0.078807,0.072114,0.201958,0.01119,0.041145,11.001652,2.1,,17.66
V1_01_easy,VINS-Fusion,tum_vinsfusion.txt,0.058499,0.064062,0.058499,0.053527,0.119065,0.006777,0.02611,5.708575,1.21,,11.78
V1_01_easy,Kimera,tum_kimera.txt,4.949505,5.501209,4.949505,3.645832,9.128702,0.636585,2.401187,21729.050093,5.69,,77.08
V1_01_easy,SVO,svo_traj_tum.txt,0.171213,0.193153,0.171213,0.185285,0.39538,0.028255,0.089411,103.791607,4.0,,13.11
V1_01_easy,Maplab,tum_maplab.txt,0.089896,0.100458,0.089896,0.084167,0.194813,0.005129,0.04484,14.471676,2.5,,12.82
V1_01_easy,ORB-SLAM3,OrbSlam3TUM.txt,0.100359,0.113934,0.100359,0.097704,0.216967,0.011559,0.053936,4.205836,13.7,,16.76
V1_01_easy,VI-Stereo-DSO,nt_V1_01_easy.txt,0.178752,0.202888,0.178752,0.167559,0.420991,0.015177,0.095976,114.393893,15.76,,13.16
V1_01_easy,OKVIS2,tum_okvis2.txt,0.082018,0.09259,0.082018,0.089326,0.221793,0.008054,0.042965,8.409998,37.03,,66.4
V1_01_easy,RVIO,tum_rvio.txt,0.128626,0.140948,0.128626,0.123258,0.321429,0.007143,0.057635,55.585925,0.22,,9.69
V1_01_easy,ORB-SLAM3_2,OrbSlam3TUM_mono2.txt,0.0989,0.110807,0.0989,0.099197,0.206336,0.009423,0.04997,3.548389,8.39,,21.76
V1_01_easy,ORB-SLAM3_3,OrbSlam3TUM_mono3.txt,0.09671,0.107323,0.09671,0.097277,0.208947,0.007603,0.046533,3.363306,8.42,,15.18
V1_02_medium,VINS-Mono,tum_vinsmono.txt,0.098739,0.110518,0.098739,0.09245,0.404777,0.033489,0.049648,9.673688,2.16,,16.55
V1_02_medium,VINS-Fusion,tum_vinsfusion.txt,0.217374,0.269699,0.217374,0.172741,0.91632,0.018091,0.159643,57.60794,1.3,,11.71
V1_02_medium,Kimera,tum_kimera.txt,0.132326,0.140673,0.132326,0.140752,0.215418,0.024767,0.047736,8.271803,5.78,,77.4
V1_02_medium,SVO,svo_traj_tum.txt,0.086161,0.092951,0.086161,0.080123,0.299683,0.016898,0.034871,13.685442,4.2,,12.95
V1_02_medium,Maplab,tum_maplab.txt,0.131931,0.142711,0.131931,0.131994,0.256335,0.017621,0.054412,17.005969,2.51,,12.06
V1_02_medium,ORB-SLAM3,OrbSlam3TUM.txt,0.077958,0.089105,0.077958,0.061924,0.348695,0.027994,0.043154,2.921801,14.03,,16.4
V1_02_medium,VI-Stereo-DSO,nt_V1_02_medium.txt,37.653849,48.774586,37.653849,26.2404,163.750708,13.456673,31.002385,2709635.747442,12.83,,13.73
V1_02_medium,OKVIS2,tum_okvis2.txt,0.038638,0.041263,0.038638,0.03815,0.0852,0.006038,0.014481,1.671954,31.09,,69.04
V1_02_medium,RVIO,tum_rvio.txt,0.166109,0.181007,0.166109,0.15144,0.365134,0.022471,0.071912,52.356324,0.3,,8.36
V1_02_medium,ORB-SLAM3_2,OrbSlam3TUM_mono2.txt,0.080099,0.101521,0.080099,0.066679,0.683137,0.033606,0.062375,3.380537,7.98,,21.46
