Objects
100
,,Global Angle (Quaternion) px4 bachelor:px4 bachelor,,,,,,,
Frame,Sub Frame,RX,RY,RZ,RW,TX,TY,TZ
,,,,,,mm,mm,mm
167,0,-0.007170,0.042989,0.414779,0.908878,2075.011963,2906.813721,754.477234
168,0,-0.007441,0.043321,0.414566,0.908957,2074.971680,2906.954346,754.635681
169,0,-0.007788,0.043962,0.414991,0.908729,2074.848389,2907.092529,754.791077
170,0,-0.009209,0.043955,0.414620,0.908886,2074.904785,2907.210693,754.975281
171,0,-0.010360,0.043980,0.414338,0.909001,2074.914307,2907.316406,755.150574
172,0,-0.011970,0.043530,0.413969,0.909171,2074.919678,2907.373047,755.352051
173,0,-0.013397,0.042810,0.413728,0.909295,2074.885498,2907.397461,755.547058
174,0,-0.014680,0.041987,0.413493,0.909420,2074.798828,2907.408691,755.753784
175,0,-0.015775,0.041436,0.412969,0.909665,2074.591064,2907.414307,755.973145
176,0,-0.015863,0.042344,0.413109,0.909558,2074.271973,2907.540771,755.968262
177,0,-0.015831,0.042649,0.413271,0.909471,2073.980713,2907.636475,756.056946
178,0,-0.015930,0.042744,0.413334,0.909436,2073.750977,2907.696289,756.181213
179,0,-0.016098,0.042795,0.413340,0.909428,2073.604004,2907.712891,756.306885
180,0,-0.016204,0.042946,0.413273,0.909450,2073.555664,2907.679199,756.399353
181,0,-0.016204,0.043213,0.413155,0.909491,2073.571533,2907.604736,756.459656
182,0,-0.016257,0.043597,0.412954,0.909562,2073.611328,2907.522949,756.478577
183,0,-0.016375,0.043964,0.412733,0.909643,2073.657959,2907.440674,756.467102
184,0,-0.014714,0.044129,0.412673,0.909691,2073.607422,2907.380127,756.557373
185,0,-0.013695,0.044291,0.412595,0.909734,2073.582764,2907.326660,756.586792
186,0,-0.013124,0.044444,0.412525,0.909767,2073.589600,2907.281982,756.595215
187,0,-0.017807,0.044256,0.409662,0.910989,2073.805908,2906.927002,756.613586
188,0,-0.020757,0.043136,0.408826,0.911356,2074.094971,2906.767090,756.634338
189,0,-0.021871,0.042828,0.408514,0.911484,2074.187012,2906.740479,756.641785
190,0,-0.021512,0.042172,0.410071,0.910824,2074.208496,2906.929199,756.658569
191,0,-0.021045,0.041885,0.411370,0.910262,2074.169189,2907.073486,756.616394
192,0,-0.020785,0.041740,0.412695,0.909675,2074.063965,2907.185547,756.530151
193,0,-0.021652,0.041178,0.414802,0.908722,2073.851318,2907.218750,756.357361
194,0,-0.021840,0.041229,0.415698,0.908305,2073.773682,2907.266846,756.229614
195,0,-0.021957,0.041500,0.416260,0.908032,2073.772461,2907.302002,756.112488
196,0,-0.021904,0.041790,0.416654,0.907840,2073.838135,2907.313721,756.004700
197,0,-0.021872,0.042184,0.416844,0.907735,2073.945312,2907.295166,755.873535
198,0,-0.021684,0.042638,0.417010,0.907642,2074.068359,2907.255615,755.690186
199,0,-0.021311,0.043030,0.417110,0.907587,2074.195068,2907.179688,755.441040
200,0,-0.020739,0.043181,0.417211,0.907546,2074.298828,2907.039307,755.157166
201,0,-0.020013,0.043239,0.417391,0.907477,2074.378662,2906.854248,754.880798
202,0,-0.014631,0.043831,0.417050,0.907708,2074.477295,2906.808350,754.881287
203,0,-0.011224,0.044253,0.416891,0.907809,2074.551758,2906.754395,754.824036
204,0,-0.009103,0.044574,0.416772,0.907872,2074.604736,2906.755127,754.781616
205,0,-0.007959,0.044762,0.416745,0.907886,2074.629150,2906.823242,754.782043
206,0,-0.007339,0.044939,0.416709,0.907899,2074.635010,2906.953125,754.857300
207,0,-0.008344,0.044763,0.416062,0.908196,2074.692139,2907.049805,755.020630
208,0,-0.009343,0.044832,0.415699,0.908349,2074.701904,2907.218018,755.198669
209,0,-0.011358,0.044396,0.416573,0.907946,2074.578369,2907.337158,755.283997
210,0,-0.012793,0.044163,0.417061,0.907715,2074.505371,2907.443359,755.381470
211,0,-0.013813,0.044013,0.417348,0.907575,2074.454346,2907.490234,755.468140
212,0,-0.014588,0.043778,0.417530,0.907491,2074.411133,2907.459473,755.519409
213,0,-0.015052,0.043471,0.417576,0.907477,2074.356201,2907.350586,755.530090
214,0,-0.015395,0.043090,0.417600,0.907478,2074.272949,2907.198730,755.515198
215,0,-0.015629,0.042628,0.417595,0.907498,2074.161865,2907.018799,755.493774
216,0,-0.015711,0.042129,0.417553,0.907540,2074.043457,2906.859375,755.489868
217,0,-0.014561,0.042320,0.416433,0.908064,2074.059326,2906.807861,755.613464
218,0,-0.013923,0.042476,0.415684,0.908410,2074.046143,2906.796387,755.748962
219,0,-0.013673,0.042577,0.415265,0.908601,2074.045898,2906.828125,755.910950
220,0,-0.013880,0.042565,0.414988,0.908725,2074.075684,2906.888916,756.111084
221,0,-0.015104,0.042056,0.414576,0.908917,2074.151855,2906.945801,756.372803
222,0,-0.017286,0.041070,0.413986,0.909192,2074.253906,2906.998291,756.662048
223,0,-0.015576,0.042442,0.413926,0.909187,2073.961426,2907.213867,756.756958
224,0,-0.014501,0.043194,0.413955,0.909156,2073.820068,2907.424072,756.847473
225,0,-0.013832,0.043604,0.414043,0.909107,2073.768799,2907.635254,756.910767
226,0,-0.017385,0.043403,0.415635,0.908329,2073.541504,2907.828857,756.713379
227,0,-0.017688,0.043316,0.415810,0.908247,2073.671875,2907.907227,756.740173
228,0,-0.016362,0.043635,0.414599,0.908810,2074.103027,2907.948486,756.906860
229,0,-0.015665,0.043038,0.413812,0.909209,2074.122070,2908.044922,756.866699
230,0,-0.013935,0.042126,0.413531,0.909408,2074.045654,2907.996094,756.874146
231,0,-0.012065,0.041234,0.413498,0.909491,2073.954102,2907.895752,756.891357
232,0,-0.010253,0.040255,0.413540,0.909538,2073.843750,2907.736084,756.927124
