timestamp, p_WS_W_x, p_WS_W_y, p_WS_W_z, q_WS_x, q_WS_y, q_WS_z, q_WS_w, v_WS_W_x, v_WS_W_y, v_WS_W_z, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z
915731468963, -3.602978109124246764e+00, -1.933518871675713013e+00, -1.765671423049405675e+01, -1.111564416416737505e-01, 9.796916771831856163e-01, 1.153945903561620356e-01, -1.205510334094717917e-01, -9.907625646224942351e-01, -4.945504031476514184e-01, -2.436273438223372167e+00, 4.152267580118459631e-03, 2.632449582081324360e-03, 2.914268984823638678e-03, -6.250923794731403542e-04, 4.184419113088962659e-04, 1.247861297751431779e-02, 
915764657889, -3.636551901307947254e+00, -1.950320530262186214e+00, -1.773759312706448199e+01, -1.058984950709733197e-01, 9.827481737871154310e-01, 9.591431501976957485e-02, -1.174392601904537536e-01, -1.008383681264848342e+00, -4.887415739624729194e-01, -2.426950872652963387e+00, 4.543464371993197193e-03, 3.164636890363687911e-03, 2.726481156263812870e-03, -6.234038747319292726e-04, 4.166750433433272769e-04, 1.247651453552520683e-02, 
915798015822, -3.670992616503162775e+00, -1.967520449970416641e+00, -1.781837806071888508e+01, -9.956325416315901788e-02, 9.853517585878512897e-01, 6.929484910727168323e-02, -1.198636481818891181e-01, -1.018467782423798873e+00, -4.908536594514557039e-01, -2.434247784965077877e+00, 4.777723260922400218e-03, 3.178644371336968120e-03, 2.592015720160163739e-03, -6.264872730810982148e-04, 4.177851467882108712e-04, 1.247843357685946702e-02, 
915831375399, -3.706141538195740548e+00, -1.984007807006566315e+00, -1.790000675193546087e+01, -9.457920679495201988e-02, 9.873165047134282446e-01, 4.666293239499388207e-02, -1.186737709133620922e-01, -1.027549408275225895e+00, -4.998888388354810197e-01, -2.451305812530993222e+00, 5.213385675693499484e-03, 3.623600888656351455e-03, 2.549438829709524401e-03, -6.261368298635915921e-04, 4.138006775461776127e-04, 1.247620535961233706e-02, 
915864739046, -3.743966633114533149e+00, -2.004843281487294071e+00, -1.798127735715688047e+01, -9.007709437057617730e-02, 9.888686499782500805e-01, 2.950532826121512672e-02, -1.146923962786799839e-01, -1.041421436586622562e+00, -5.123253830740109871e-01, -2.444785447311592641e+00, 5.742120503978973001e-03, 3.669452554536478065e-03, 2.316917638976826680e-03, -6.357408764057715040e-04, 4.102445691646882915e-04, 1.247810045935985809e-02, 
915898092356, -3.780578756968647980e+00, -2.019762163694320822e+00, -1.806261297407882438e+01, -8.549225031168708466e-02, 9.892723239803540292e-01, 1.885747322437836271e-02, -1.169433189487341790e-01, -1.054165323076577288e+00, -5.172974020371940984e-01, -2.457818086673111857e+00, 5.389101388978388869e-03, 3.230504998986613412e-03, 2.396179061971081062e-03, -6.450411147258887888e-04, 4.023547419231874407e-04, 1.247752973623129404e-02, 
915931454884, -3.817051562014140753e+00, -2.037455224889841876e+00, -1.814452792812648241e+01, -8.169517047949557964e-02, 9.893658167620289490e-01, 4.552335053076034255e-03, -1.202516361164953640e-01, -1.066346081847871829e+00, -5.298480644571285092e-01, -2.468734195099590689e+00, 5.458548701539975984e-03, 3.220535512949752616e-03, 2.360730648213125223e-03, -6.515676703347949737e-04, 3.999803759021116050e-04, 1.247901063826444695e-02, 
915964810508, -3.850387358378021041e+00, -2.048240809179568522e+00, -1.822834735042908605e+01, -7.775908932101799342e-02, 9.899673607934594832e-01, -2.278201918096298129e-02, -1.157546033366993465e-01, -1.076564601786736075e+00, -5.268305827384639484e-01, -2.485315573817472146e+00, 4.943783439697587573e-03, 4.042350973770994504e-03, 1.759525116659725131e-03, -6.342092224345771039e-04, 3.921105201090484792e-04, 1.246960432109072391e-02, 
915998164926, -3.886870565393848675e+00, -2.062826079905103249e+00, -1.831204226149257508e+01, -7.242243338397807983e-02, 9.906322803285870782e-01, -4.487474973140082729e-02, -1.067189446643429934e-01, -1.080420440785670788e+00, -5.336346819233895866e-01, -2.514304518250349396e+00, 5.068705028132237597e-03, 4.416548509725896215e-03, 1.263474218865318337e-03, -6.337603538356801876e-04, 3.836358740790853789e-04, 1.246547611026677972e-02, 
916031539307, -3.923102949155430341e+00, -2.080790426050941111e+00, -1.839564522186465467e+01, -7.151470200000840938e-02, 9.900226589786725873e-01, -6.705098081181469494e-02, -1.012173309212537481e-01, -1.082952920949511011e+00, -5.415633044817289576e-01, -2.492725472211039239e+00, 5.027379892320754835e-03, 4.284767879047144193e-03, 1.375490782471329313e-03, -6.358012883711740195e-04, 3.851797679410339848e-04, 1.246713497427231511e-02, 
916064887608, -3.960407203377820373e+00, -2.097163451791254296e+00, -1.847828690908933780e+01, -6.779429943481249388e-02, 9.883524801934703286e-01, -9.310527681548262657e-02, -9.947218349202617549e-02, -1.090177885762928289e+00, -5.421780104658657784e-01, -2.485102786038929867e+00, 5.161220154947880265e-03, 3.910493625982211507e-03, 6.745374353066369922e-04, -6.439850941473237479e-04, 3.766641170262331295e-04, 1.246617729457558978e-02, 
916098241445, -4.000626767960345553e+00, -2.117743258111989046e+00, -1.855995734672677244e+01, -6.491797699168258551e-02, 9.869273871692509914e-01, -1.107501252366078215e-01, -9.743920401285481592e-02, -1.096668054207176279e+00, -5.504950392038703288e-01, -2.488880088949580127e+00, 5.552487836339979957e-03, 3.473644909851073947e-03, 6.014862703546098276e-04, -6.666106946845476141e-04, 3.655866978991431995e-04, 1.246876856051622878e-02, 
916131597890, -4.037119528493001930e+00, -2.138856736611663312e+00, -1.864252449069057960e+01, -6.360101003739866699e-02, 9.845090265199079038e-01, -1.300464577882570749e-01, -9.891818356486976882e-02, -1.110121207564485735e+00, -5.514365168709453036e-01, -2.479470572456777600e+00, 5.735201910622928292e-03, 3.025013679240581756e-03, 5.057167210795457044e-04, -6.693677792742553983e-04, 3.706584185555764294e-04, 1.247221990793726670e-02, 
916164965180, -4.072575245435391622e+00, -2.158205658206243438e+00, -1.872573849424489012e+01, -6.046769868613548204e-02, 9.807544979014015674e-01, -1.563001496755319908e-01, -1.001725285354157641e-01, -1.117814751716595500e+00, -5.570232958230115772e-01, -2.485696333444267214e+00, 5.628099923575716895e-03, 2.949064651522456584e-03, 2.132469261280760004e-04, -6.606835700474686639e-04, 3.792175968215179315e-04, 1.247342328994392215e-02, 
916198318520, -4.112291706136764091e+00, -2.171262873781246938e+00, -1.880837383224067949e+01, -5.813045170930179750e-02, 9.763366573156284645e-01, -1.834044083204540709e-01, -9.874413994988208432e-02, -1.126829704948834721e+00, -5.426861583827358171e-01, -2.491771162237552684e+00, 5.684972080413193407e-03, 2.879863459978930246e-03, -1.305003167461533139e-04, -6.758690258302422994e-04, 3.488415084399350274e-04, 1.246637024283821227e-02, 
916231676301, -4.150216746981679528e+00, -2.191289715058937659e+00, -1.889143804526104731e+01, -5.416653972464270661e-02, 9.719091577179415076e-01, -2.069842755695445180e-01, -9.806163768370931844e-02, -1.133219646779879408e+00, -5.492852766206517412e-01, -2.503177146689887334e+00, 5.913466193418218976e-03, 2.785160102827777609e-03, -4.118936696493589490e-04, -6.779948204907266986e-04, 3.553688480707888368e-04, 1.246958500644126076e-02, 
916265037543, -4.190696483379427129e+00, -2.205808852008071863e+00, -1.897443716860313145e+01, -5.235360232803425856e-02, 9.676430110976752541e-01, -2.260684038662124362e-01, -9.909177650282499639e-02, -1.147089968990279374e+00, -5.501759551948742777e-01, -2.508405365211790805e+00, 5.969205613500736321e-03, 2.481658594773759625e-03, -7.201174385565652395e-04, -6.946204764648501728e-04, 3.331282647801941076e-04, 1.246627993744169917e-02, 
916298401021, -4.233382059924961638e+00, -2.219210752243464313e+00, -1.905755048032314747e+01, -4.786307132216982563e-02, 9.618714681806305178e-01, -2.499361005725954654e-01, -1.002215083413371260e-01, -1.169531022329433068e+00, -5.357108154775936937e-01, -2.531104303473457939e+00, 6.178699366611179085e-03, 2.237120682874965336e-03, -1.491347486246690337e-03, -7.191991578426870646e-04, 3.003716106746445475e-04, 1.246336776476818578e-02, 
916331784950, -4.272861499833765286e+00, -2.240164063794913396e+00, -1.914249604596770737e+01, -4.328676134356596039e-02, 9.559155836429935604e-01, -2.743417413997292775e-01, -9.533237732598796865e-02, -1.183809402487048468e+00, -5.579150716273764132e-01, -2.565038898326423400e+00, 6.692981358971066171e-03, 2.489015902932848953e-03, -1.928236349862550662e-03, -7.196510181220134098e-04, 3.058893500538544994e-04, 1.246650414661360645e-02, 
916365116833, -4.312689634931023086e+00, -2.257779853520158753e+00, -1.922807145216887648e+01, -4.081947710885019953e-02, 9.504420647905831299e-01, -2.952722173887398771e-01, -8.836271500757510167e-02, -1.191887956654909209e+00, -5.567404382044094380e-01, -2.573148597057484110e+00, 7.019805941561325924e-03, 2.152377593459707614e-03, -2.645250808504495590e-03, -7.231160209947824031e-04, 2.997801937750472568e-04, 1.246587573867739482e-02, 
916398469767, -4.352766361964150121e+00, -2.274581420491563755e+00, -1.931398299008063546e+01, -3.711199533185920163e-02, 9.458182402141657175e-01, -3.107802722006736684e-01, -8.640705232527035040e-02, -1.197635949678716116e+00, -5.608716474634685145e-01, -2.580532242122751896e+00, 6.927230026646802319e-03, 2.018904944693617788e-03, -3.384111240818061216e-03, -7.258312554919073853e-04, 2.933260992162643852e-04, 1.246649111435897163e-02, 
916431835690, -4.392267120754922871e+00, -2.295704704543788388e+00, -1.940053033875005539e+01, -3.324524368664141805e-02, 9.420006580631610227e-01, -3.228291603499140461e-01, -8.550349237637688837e-02, -1.205435181270903877e+00, -5.815226111629421268e-01, -2.597607501345207570e+00, 7.239735585779839312e-03, 2.156801905697895445e-03, -3.679891807019974089e-03, -7.226241864005566095e-04, 2.991884072829688345e-04, 1.246840105975602873e-02, 
916465211662, -4.434539872944874617e+00, -2.314177071126620522e+00, -1.948677347232209200e+01, -3.156255870368412930e-02, 9.374302124859315022e-01, -3.374955246710905632e-01, -7.953095267657225853e-02, -1.218796160868605094e+00, -5.983405235892786944e-01, -2.600649426389462171e+00, 7.292602730041886777e-03, 2.302969305562954910e-03, -3.806187193253722425e-03, -7.338090134407789606e-04, 2.896138668416173463e-04, 1.246931686769515470e-02, 
916498546559, -4.469051345949563547e+00, -2.333507958938513482e+00, -1.957579486759836485e+01, -3.097096205378454745e-02, 9.317714396283975908e-01, -3.543843133407769685e-01, -7.248822152786300876e-02, -1.226863266914844708e+00, -6.183313391602015541e-01, -2.602103861262407225e+00, 7.189342270201073797e-03, 2.675373531356554230e-03, -4.031007902439510786e-03, -6.920836586009440931e-04, 2.976743952286145891e-04, 1.246136800276268462e-02, 
916531908135, -4.509499244646057114e+00, -2.355247283896994226e+00, -1.966280428539533176e+01, -3.210587456769933845e-02, 9.272948171080214186e-01, -3.666932707562353677e-01, -6.804101825324711250e-02, -1.233957530640676259e+00, -6.425868526543623283e-01, -2.600509836918665663e+00, 7.375545187338426734e-03, 2.577311259304846357e-03, -3.916555208515862946e-03, -6.845457502394975335e-04, 3.008143720892796319e-04, 1.246022973893362411e-02, 
916565263846, -4.547379233386478425e+00, -2.377455386159518902e+00, -1.975053592307055794e+01, -3.227819278314015411e-02, 9.241130334608091967e-01, -3.750364144254269561e-01, -6.573361022669768627e-02, -1.239408760869953552e+00, -6.559912661197458972e-01, -2.597918563090492405e+00, 7.517585956200513106e-03, 2.363004310060808771e-03, -4.314561185665816666e-03, -6.622082781940875169e-04, 3.100119857706895338e-04, 1.245677890143043892e-02, 
916598622496, -4.584723099683711389e+00, -2.403503038342132747e+00, -1.983849956378750079e+01, -3.237790040899062027e-02, 9.222470948040424332e-01, -3.800299142072172676e-01, -6.316036730628063478e-02, -1.245603645351744060e+00, -6.837841598512587327e-01, -2.601073434502674697e+00, 8.050508761011395883e-03, 2.443443987483956588e-03, -4.591664147465666923e-03, -6.351082188920981371e-04, 3.287065785670005222e-04, 1.245426059771218008e-02, 
