Frame,Sub Frame,RX,RY,RZ,RW,TX,TY,TZ
199,0,0.018310,0.038798,0.370734,0.927748,2064.945557,2876.148682,749.654236
200,0,0.019513,0.039809,0.370907,0.927611,2064.927002,2876.165039,749.402771
201,0,0.020569,0.040515,0.371044,0.927503,2064.949951,2876.114502,749.102539
202,0,0.020056,0.040224,0.371040,0.927529,2065.109619,2875.990479,748.868591
203,0,0.018212,0.039251,0.370573,0.927795,2065.415527,2875.730469,748.615356
204,0,0.020037,0.039597,0.370781,0.927659,2065.410889,2875.593506,748.138977
205,0,0.021779,0.040072,0.370972,0.927523,2065.518311,2875.481445,747.729980
206,0,0.022867,0.040338,0.371207,0.927392,2065.710693,2875.361084,747.386597
207,0,0.023909,0.040639,0.371489,0.927239,2065.899170,2875.269043,747.096802
208,0,0.024569,0.040674,0.371826,0.927086,2066.136719,2875.174072,746.845642
209,0,0.022873,0.039530,0.371763,0.927203,2066.672119,2874.931396,746.697144
210,0,0.023538,0.038668,0.373397,0.926566,2067.113281,2874.909424,746.320679
211,0,0.027190,0.041208,0.373694,0.926237,2067.191895,2875.021240,745.896484
212,0,0.027299,0.042398,0.373662,0.926193,2067.796143,2874.976562,745.703552
213,0,0.028229,0.043794,0.373828,0.926033,2068.526123,2874.884033,745.286316
214,0,0.027287,0.047231,0.372178,0.926557,2069.799561,2874.896973,744.484619
215,0,0.029324,0.046723,0.373261,0.926085,2069.893066,2874.648926,744.083191
216,0,0.030946,0.045320,0.373395,0.926048,2068.983887,2874.483643,743.575928
217,0,0.031311,0.042242,0.372900,0.926380,2067.680176,2874.596191,743.514526
218,0,0.031061,0.038595,0.372209,0.926826,2066.429443,2874.746826,743.844788
219,0,0.029903,0.035611,0.371263,0.927362,2065.340088,2874.793945,744.359314
220,0,0.030656,0.033754,0.370856,0.927570,2064.208740,2874.941162,744.777466
221,0,0.028727,0.030913,0.370330,0.927941,2063.533936,2874.960449,745.301880
222,0,0.027898,0.028071,0.369981,0.928196,2063.122559,2874.940674,745.782288
223,0,0.027797,0.026951,0.369676,0.928354,2063.041992,2874.731445,745.998718
224,0,0.028713,0.026973,0.369486,0.928401,2063.353271,2874.429199,745.984619
225,0,0.030505,0.027955,0.369753,0.928208,2063.878906,2874.097412,745.733459
226,0,0.032792,0.029575,0.370038,0.927966,2064.481689,2873.753906,745.355347
227,0,0.034938,0.031093,0.370373,0.927705,2065.146240,2873.432373,744.958069
228,0,0.036457,0.032847,0.370191,0.927659,2065.871094,2873.235107,744.570068
229,0,0.037660,0.034039,0.370459,0.927460,2066.438477,2873.118896,744.296875
230,0,0.038440,0.034921,0.370653,0.927318,2066.967041,2873.153320,744.182495
231,0,0.038286,0.035825,0.370696,0.927273,2067.381836,2873.357910,744.320618
232,0,0.038368,0.036308,0.370510,0.927325,2067.551025,2873.563721,744.512451
233,0,0.037562,0.036126,0.370407,0.927407,2067.527588,2873.861816,744.927368
234,0,0.036215,0.035827,0.369815,0.927708,2067.387207,2874.252197,745.506470
235,0,0.034095,0.035143,0.369962,0.927756,2067.000244,2874.649902,746.135071
236,0,0.031987,0.034487,0.370177,0.927770,2066.492920,2875.062988,746.892273
237,0,0.028920,0.031906,0.371489,0.927438,2066.090576,2875.409424,747.726440
238,0,0.027360,0.031534,0.371081,0.927661,2065.442383,2875.852295,748.734619
239,0,0.025587,0.031091,0.370822,0.927830,2064.935059,2876.162842,749.624878
240,0,0.023911,0.031008,0.370692,0.927930,2064.482178,2876.338623,750.442322
241,0,0.022269,0.031025,0.370068,0.928219,2064.235107,2876.471436,751.265259
242,0,0.020439,0.030186,0.370225,0.928227,2063.916748,2876.535889,752.055969
243,0,0.018914,0.029150,0.370122,0.928333,2063.693604,2876.572998,752.793518
244,0,0.017701,0.028424,0.369999,0.928429,2063.489502,2876.604004,753.443909
245,0,0.016475,0.027873,0.369839,0.928532,2063.275635,2876.672119,754.018433
246,0,0.016868,0.026303,0.370214,0.928421,2063.140381,2877.025879,754.806885
247,0,0.007148,0.016558,0.372839,0.927721,2064.373535,2877.011963,755.811035
248,0,0.000098,0.013424,0.374044,0.927314,2064.425537,2877.483154,756.711182
249,0,-0.005571,0.011512,0.373758,0.927438,2064.425049,2877.575684,757.053833
250,0,-0.009436,0.009897,0.373538,0.927514,2064.372070,2877.792725,757.535522
251,0,-0.012569,0.008736,0.373635,0.927450,2064.343506,2878.047852,757.992920
252,0,-0.012231,0.007391,0.375300,0.926793,2064.156982,2878.347412,758.391174
253,0,-0.006267,0.011270,0.372928,0.927771,2062.389404,2878.589355,758.160339
254,0,-0.002963,0.013660,0.371296,0.928409,2061.907959,2878.631104,758.168396
255,0,-0.000840,0.015301,0.370342,0.928769,2061.770020,2878.647949,758.158447
256,0,-0.000301,0.017885,0.369400,0.929098,2061.640137,2878.482422,757.917297
257,0,0.000338,0.018066,0.368909,0.929290,2061.745605,2878.436035,758.086792
258,0,0.000654,0.018339,0.368478,0.929455,2061.837402,2878.333496,758.163025
259,0,0.000839,0.018832,0.368167,0.929568,2061.931152,2878.279297,758.179382
260,0,0.000807,0.019361,0.368021,0.929616,2062.060303,2878.285889,758.194031
261,0,0.001125,0.020548,0.368119,0.929551,2062.040527,2878.499756,757.991821
262,0,0.003994,0.022467,0.369290,0.929034,2062.286621,2878.696045,757.642151
263,0,0.005617,0.024020,0.370017,0.928697,2062.517090,2878.810791,757.461182
264,0,0.006170,0.025095,0.370354,0.928531,2062.735596,2878.830078,757.327332
265,0,0.004861,0.026642,0.369522,0.928827,2063.002197,2878.623291,757.048706
266,0,0.003629,0.027205,0.368887,0.929069,2063.185303,2878.430420,756.846130
267,0,0.001728,0.027164,0.368204,0.929347,2063.200439,2878.312012,756.735168
268,0,0.000601,0.026897,0.367657,0.929572,2063.181641,2878.177979,756.498901
269,0,-0.000259,0.026513,0.367197,0.929765,2063.144531,2878.050049,756.206665
270,0,-0.000482,0.026310,0.366883,0.929895,2063.106689,2877.921387,755.875488
271,0,-0.006000,0.018690,0.369009,0.929219,2064.057617,2877.560791,755.499512
272,0,-0.003172,0.023365,0.368145,0.929469,2063.526123,2877.335449,754.747437
273,0,0.056769,0.014012,0.392026,0.918094,2061.382812,2871.383057,749.877625
274,0,0.437468,-0.085624,-0.164932,0.879822,2078.020264,2884.729980,766.167053
275,0,0.568303,-0.124977,-0.456045,0.673377,2080.921387,2886.969238,768.844238
276,0,0.605600,-0.138706,-0.590103,0.515545,2081.248779,2887.379639,769.200562
277,0,0.414031,-0.079913,-0.191991,0.886189,2071.907959,2882.212646,761.503052
278,0,0.242284,-0.032729,0.064687,0.967493,2064.892822,2878.441162,755.793091
279,0,0.135878,-0.004981,0.204725,0.969330,2063.161621,2877.560791,754.521790
280,0,0.075455,0.010393,0.279424,0.957142,2062.735840,2877.382568,754.350525
281,0,0.042143,0.017291,0.319775,0.946398,2062.741211,2877.440430,754.593323
282,0,0.023418,0.020893,0.341901,0.939212,2062.697998,2877.506104,754.774719
283,0,0.006158,0.014503,0.355018,0.934727,2064.418945,2877.417236,755.124390
284,0,-0.003670,0.010796,0.362176,0.932040,2064.885498,2877.451416,755.274841
285,0,-0.007077,0.011854,0.365333,0.930775,2064.645996,2877.560303,755.366760
286,0,0.000850,0.016634,0.369654,0.929020,2062.916016,2878.119873,755.092529
287,0,0.006389,0.019438,0.372227,0.927916,2062.583008,2878.112793,754.844482
288,0,0.006966,0.021880,0.370288,0.928633,2063.217285,2877.379395,754.540466
289,0,0.008215,0.023161,0.369379,0.928954,2063.480713,2876.956787,754.318848
290,0,0.007818,0.024035,0.368570,0.929256,2063.617920,2876.676758,754.078613
291,0,0.009860,0.023260,0.369514,0.928882,2063.407959,2876.808594,754.073425
292,0,0.011371,0.021906,0.370093,0.928667,2063.169678,2876.775146,754.018677
293,0,0.012405,0.020431,0.370464,0.928539,2062.937988,2876.600586,753.936890
294,0,0.013405,0.018984,0.370719,0.928454,2062.744873,2876.406982,753.835999
295,0,0.014108,0.017875,0.370819,0.928426,2062.628906,2876.276611,753.751099
296,0,0.014573,0.016959,0.371074,0.928334,2062.528809,2876.164062,753.728210
297,0,0.015113,0.016107,0.371213,0.928285,2062.386963,2876.040527,753.768860
298,0,0.015348,0.015160,0.371398,0.928223,2062.173340,2875.945557,753.862427
299,0,0.015172,0.014326,0.371481,0.928206,2061.909912,2875.888428,753.915405
300,0,0.014676,0.013583,0.371217,0.928331,2061.712402,2875.823730,754.015015
301,0,0.012557,0.013615,0.370128,0.928796,2061.583496,2875.747314,754.265747
302,0,0.010329,0.013531,0.369408,0.929111,2061.393311,2875.888916,754.524292
303,0,0.007685,0.013162,0.368407,0.929540,2061.251953,2876.082764,754.760193
304,0,0.005098,0.013075,0.367490,0.929922,2061.080566,2876.310059,754.950500
305,0,0.002962,0.013241,0.366307,0.930395,2060.888184,2876.556885,755.079468
306,0,0.000963,0.013140,0.365172,0.930847,2060.728760,2876.778076,755.207520
307,0,-0.002576,0.013164,0.360789,0.932551,2060.844727,2876.384766,755.250488
308,0,-0.004096,0.013003,0.358330,0.933495,2060.875000,2876.329346,755.264893
309,0,-0.001534,0.013719,0.357664,0.933748,2060.864746,2876.476807,755.122925
310,0,-0.002772,0.013558,0.356843,0.934062,2061.041748,2876.510254,755.196350
311,0,-0.003143,0.013573,0.356387,0.934235,2061.268799,2876.519775,755.235901
312,0,-0.003650,0.013593,0.355952,0.934398,2061.541504,2876.486816,755.292297
313,0,-0.005981,0.016244,0.354062,0.935062,2061.820312,2876.237061,755.063232
314,0,-0.008124,0.017799,0.352431,0.935633,2062.052979,2876.031494,755.035583
315,0,-0.009214,0.018793,0.351296,0.936030,2062.187500,2875.875244,755.089478
316,0,-0.009918,0.019346,0.350362,0.936362,2062.219238,2875.714111,755.217773
317,0,-0.010148,0.019356,0.350016,0.936489,2062.132812,2875.613037,755.429993
318,0,-0.007653,0.018873,0.352334,0.935653,2061.831543,2875.850586,755.666077
319,0,-0.008426,0.018441,0.351490,0.935972,2061.700439,2875.733154,755.930542
320,0,-0.009245,0.018149,0.350756,0.936245,2061.552002,2875.668213,756.175354
321,0,-0.009561,0.017915,0.350463,0.936356,2061.423584,2875.666016,756.396606
322,0,-0.008903,0.019795,0.351868,0.935798,2061.197998,2875.834717,756.294739
323,0,-0.008498,0.020828,0.352974,0.935363,2061.051270,2875.952393,756.333374
324,0,-0.008748,0.020260,0.352718,0.935470,2061.057129,2875.961426,756.622986
325,0,0.003960,0.026765,0.355748,0.934190,2060.782471,2876.485107,755.858215
326,0,0.011474,0.030650,0.357483,0.933346,2060.638184,2876.816162,755.628845
327,0,0.015947,0.033098,0.358386,0.932850,2060.543945,2877.021973,755.646545
328,0,0.018605,0.034302,0.358973,0.932532,2060.476318,2877.174072,755.810974
329,0,0.020195,0.034956,0.359573,0.932243,2060.419434,2877.300537,756.041809
330,0,0.021130,0.035315,0.359673,0.932170,2060.352051,2877.321045,756.333008
331,0,0.021669,0.035703,0.359766,0.932107,2060.312012,2877.350342,756.655945
332,0,0.021788,0.036009,0.359797,0.932081,2060.312744,2877.416016,757.035156
