timestamp,cpu_percent,ram_percent
1748437693,37.6,26.4091
1748437695,38.6,26.3948
1748437696,39,26.4749
1748437697,41.8,26.4991
1748437698,40.6,26.5736
1748437699,34.6,26.5722
1748437701,37.7,26.5925
1748437702,44.2,26.612
1748437703,42,26.6425
1748437704,34.2,26.6632
1748437705,33.3,26.7252
1748437707,32.7,26.7364
1748437708,30.7,26.7049
1748437709,33.5,26.7301
1748437710,33,26.7365
1748437712,32.4,26.6985
1748437713,40.3,26.7323
1748437714,32.5,26.7591
1748437715,32.8,26.7642
1748437716,33.5,26.7681
1748437718,30.4,26.7051
1748437719,32.8,26.7304
1748437720,31.6,26.7849
1748437721,32.8,26.7969
1748437722,29.6,26.8147
1748437724,37.9,26.9139
1748437725,34.4,26.884
1748437726,29.3,26.8841
1748437727,33.5,26.8648
1748437728,34,26.8592
1748437730,31,26.9144
1748437731,31.3,26.9355
1748437732,31.9,26.9342
1748437733,31,26.9673
1748437734,35.1,26.9885
1748437736,32.5,27.0447
1748437737,33.7,27.0308
1748437738,31.6,27.0234
1748437739,34,26.9838
1748437741,30.7,26.9386
1748437742,32.5,27.0592
1748437743,32.4,27.0866
1748437744,34.8,27.0578
1748437745,29.4,27.0484
1748437747,31.9,27.0505
1748437748,30.6,27.0352
1748437749,33.3,26.7413
1748437750,32.2,26.7307
1748437751,34.9,26.7339
1748437753,32.4,26.8004
1748437754,31.7,26.7828
1748437755,32.9,26.7094
1748437756,30.3,26.8309
1748437757,31.7,26.8475
1748437759,32.7,26.8537
1748437760,33.2,26.809
1748437761,32.2,26.7951
1748437762,32.2,26.6207
1748437763,28.6,26.6679
1748437765,30.8,26.6686
1748437766,32.4,26.6884
1748437767,31.2,26.696
1748437768,30.9,26.7538
1748437769,34,26.7593
1748437771,31.6,26.8312
1748437772,33,26.836
1748437773,32.2,26.8474
1748437774,31.1,26.8616
1748437776,34.1,26.8573
1748437777,31.7,26.8921
1748437778,31.2,26.9073
1748437779,30.7,26.9778
1748437780,30.5,26.9523
1748437782,30.5,26.9598
1748437783,32.5,26.9411
1748437784,29.4,26.9248
1748437785,30.1,27.0161
1748437786,34,27.0233
1748437788,32.2,27.0398
1748437789,30,27.0809
1748437790,10.8,27.1354
1748437791,12.4,27.1317
1748437792,6.3,21.8459
1748437794,4.1,21.835
1748437795,3.6,21.8237
1748437796,4,21.8141
